Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca0008-il-50000
Airfoil,naca0008-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,26.123
Max Cl/Cd alpha,4
Url,http://airfoiltools.com/polar/csv?polar=xf-naca0008-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.000,-0.5182,0.10159,0.09499,0.0193,1.0000,0.3397
-8.750,-0.5038,0.09681,0.09017,0.0198,1.0000,0.3516
-8.500,-0.6506,0.10317,0.09637,0.0325,1.0000,0.3419
-8.250,-0.6331,0.09896,0.09208,0.0341,1.0000,0.3627
-8.000,-0.6304,0.09544,0.08859,0.0346,1.0000,0.3793
-7.750,-0.7310,0.07110,0.06426,-0.0072,1.0000,0.1654
-7.500,-0.7443,0.06103,0.05348,-0.0125,1.0000,0.1393
-7.250,-0.7331,0.05588,0.04805,-0.0125,1.0000,0.1371
-7.000,-0.7211,0.05075,0.04259,-0.0123,1.0000,0.1343
-6.750,-0.7084,0.04576,0.03706,-0.0120,1.0000,0.1319
-6.500,-0.6931,0.04185,0.03252,-0.0112,1.0000,0.1357
-6.250,-0.6750,0.03820,0.02823,-0.0102,1.0000,0.1400
-6.000,-0.6522,0.03505,0.02484,-0.0093,1.0000,0.1443
-5.750,-0.6298,0.03252,0.02172,-0.0083,1.0000,0.1537
-5.500,-0.6051,0.03021,0.01927,-0.0076,1.0000,0.1639
-5.250,-0.5787,0.02786,0.01667,-0.0068,1.0000,0.1729
-5.000,-0.5518,0.02583,0.01453,-0.0059,1.0000,0.1872
-4.750,-0.5262,0.02407,0.01284,-0.0050,1.0000,0.2143
-4.500,-0.5017,0.02218,0.01126,-0.0039,1.0000,0.2658
-4.250,-0.4840,0.01957,0.00983,-0.0015,1.0000,0.4076
-4.000,-0.4757,0.01821,0.00959,0.0043,1.0000,0.5930
-3.750,-0.4640,0.01802,0.00990,0.0111,1.0000,0.7224
-3.500,-0.4424,0.01845,0.01038,0.0171,1.0000,0.8190
-3.250,-0.3775,0.01955,0.01096,0.0157,1.0000,0.9067
-3.000,-0.2313,0.01961,0.01002,-0.0051,1.0000,0.9824
-2.750,-0.1800,0.01856,0.00864,-0.0123,1.0000,1.0000
-2.500,-0.1649,0.01782,0.00777,-0.0122,1.0000,1.0000
-2.250,-0.1490,0.01724,0.00704,-0.0119,1.0000,1.0000
-2.000,-0.1325,0.01677,0.00647,-0.0112,1.0000,1.0000
-1.750,-0.1157,0.01641,0.00600,-0.0104,1.0000,1.0000
-1.500,-0.0988,0.01611,0.00563,-0.0093,1.0000,1.0000
-1.250,-0.0818,0.01588,0.00532,-0.0081,1.0000,1.0000
-1.000,-0.0649,0.01571,0.00508,-0.0067,1.0000,1.0000
-0.750,-0.0483,0.01557,0.00491,-0.0052,1.0000,1.0000
-0.500,-0.0319,0.01548,0.00479,-0.0035,1.0000,1.0000
-0.250,-0.0158,0.01543,0.00471,-0.0018,1.0000,1.0000
0.000,0.0000,0.01541,0.00469,0.0000,1.0000,1.0000
0.250,0.0158,0.01543,0.00471,0.0018,1.0000,1.0000
0.500,0.0319,0.01548,0.00479,0.0035,1.0000,1.0000
0.750,0.0483,0.01557,0.00491,0.0052,1.0000,1.0000
1.000,0.0649,0.01570,0.00508,0.0067,1.0000,1.0000
1.250,0.0818,0.01588,0.00532,0.0081,1.0000,1.0000
1.500,0.0988,0.01611,0.00563,0.0093,1.0000,1.0000
1.750,0.1158,0.01640,0.00600,0.0104,1.0000,1.0000
2.000,0.1326,0.01677,0.00647,0.0112,1.0000,1.0000
2.250,0.1490,0.01724,0.00704,0.0119,1.0000,1.0000
2.500,0.1649,0.01782,0.00776,0.0122,1.0000,1.0000
2.750,0.1801,0.01855,0.00863,0.0123,1.0000,1.0000
3.000,0.2313,0.01961,0.01001,0.0051,0.9825,1.0000
3.250,0.3775,0.01955,0.01096,-0.0157,0.9067,1.0000
3.500,0.4424,0.01845,0.01038,-0.0171,0.8190,1.0000
3.750,0.4640,0.01802,0.00990,-0.0111,0.7224,1.0000
4.000,0.4757,0.01821,0.00959,-0.0043,0.5930,1.0000
4.250,0.4840,0.01957,0.00983,0.0015,0.4076,1.0000
4.500,0.5017,0.02218,0.01125,0.0039,0.2659,1.0000
4.750,0.5262,0.02407,0.01284,0.0050,0.2143,1.0000
5.000,0.5518,0.02583,0.01453,0.0059,0.1872,1.0000
5.250,0.5787,0.02786,0.01667,0.0068,0.1729,1.0000
5.500,0.6051,0.03021,0.01927,0.0076,0.1639,1.0000
5.750,0.6298,0.03252,0.02172,0.0083,0.1537,1.0000
6.000,0.6522,0.03506,0.02484,0.0093,0.1443,1.0000
6.250,0.6750,0.03820,0.02823,0.0102,0.1400,1.0000
6.500,0.6931,0.04185,0.03252,0.0112,0.1356,1.0000
6.750,0.7084,0.04576,0.03706,0.0120,0.1319,1.0000
7.000,0.7212,0.05075,0.04259,0.0123,0.1343,1.0000
7.250,0.7331,0.05588,0.04805,0.0125,0.1371,1.0000
7.500,0.7444,0.06103,0.05348,0.0125,0.1393,1.0000
7.750,0.7211,0.07403,0.06735,0.0032,0.1842,1.0000
8.000,0.6308,0.09544,0.08859,-0.0347,0.3792,1.0000
