Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n6409-il-50000
Airfoil,n6409-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,27.0894
Max Cl/Cd alpha,10.75
Url,http://airfoiltools.com/polar/csv?polar=xf-n6409-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.750,-0.2864,0.12880,0.12196,-0.0359,1.0000,0.1262
-9.500,-0.2967,0.12883,0.12211,-0.0354,1.0000,0.1286
-9.250,-0.3119,0.12967,0.12308,-0.0346,1.0000,0.1294
-9.000,-0.3088,0.12560,0.11909,-0.0334,1.0000,0.1311
-8.750,-0.2965,0.12076,0.11425,-0.0314,1.0000,0.1350
-8.500,-0.2989,0.11889,0.11245,-0.0299,1.0000,0.1384
-8.250,-0.3070,0.11788,0.11154,-0.0285,1.0000,0.1416
-8.000,-0.3242,0.11825,0.11204,-0.0269,1.0000,0.1438
-7.750,-0.3456,0.11912,0.11305,-0.0248,1.0000,0.1445
-7.500,-0.3687,0.12002,0.11410,-0.0227,1.0000,0.1449
-7.250,-0.3352,0.11137,0.10540,-0.0211,1.0000,0.1504
-7.000,-0.3433,0.10993,0.10403,-0.0188,1.0000,0.1539
-6.750,-0.3584,0.10936,0.10358,-0.0164,1.0000,0.1568
-6.500,-0.3759,0.10940,0.10373,-0.0161,1.0000,0.1592
-6.250,-0.3924,0.11013,0.10459,-0.0195,1.0000,0.1604
-6.000,-0.3796,0.10389,0.09836,-0.0127,1.0000,0.1654
-5.750,-0.3830,0.10203,0.09656,-0.0117,1.0000,0.1705
-5.500,-0.3921,0.10199,0.09658,-0.0167,1.0000,0.1754
-5.250,-0.3903,0.09793,0.09259,-0.0127,1.0000,0.1791
-5.000,-0.3892,0.09558,0.09029,-0.0115,1.0000,0.1861
-4.750,-0.3866,0.09391,0.08864,-0.0173,1.0000,0.1923
-4.500,-0.3853,0.09063,0.08541,-0.0128,1.0000,0.1973
-4.250,-0.3743,0.08874,0.08349,-0.0199,1.0000,0.2074
-4.000,-0.3737,0.08551,0.08033,-0.0154,1.0000,0.2120
-3.750,-0.3599,0.08305,0.07784,-0.0204,1.0000,0.2236
-3.500,-0.3548,0.08039,0.07521,-0.0185,1.0000,0.2323
-3.250,-0.3285,0.07843,0.07310,-0.0273,1.0000,0.2524
-3.000,-0.3311,0.07507,0.06986,-0.0216,1.0000,0.2584
-2.750,-0.3183,0.07271,0.06748,-0.0227,1.0000,0.2768
-2.500,-0.3008,0.07024,0.06497,-0.0257,1.0000,0.3002
-2.250,-0.2677,0.06719,0.06188,-0.0294,0.9918,0.3321
-1.250,0.0482,0.04937,0.04144,-0.0899,0.9480,0.1874
-1.000,0.1014,0.04667,0.03803,-0.0958,0.9386,0.1799
-0.750,0.1513,0.04516,0.03593,-0.1005,0.9297,0.1883
-0.500,0.1853,0.04408,0.03450,-0.1025,0.9193,0.1977
-0.250,0.2228,0.04349,0.03354,-0.1048,0.9097,0.2184
0.000,0.2639,0.04301,0.03283,-0.1076,0.9007,0.2457
0.250,0.2919,0.04284,0.03245,-0.1083,0.8904,0.2731
0.500,0.3298,0.04275,0.03212,-0.1105,0.8814,0.3144
0.750,0.3681,0.04251,0.03189,-0.1127,0.8727,0.3748
1.000,0.3970,0.04217,0.03201,-0.1137,0.8638,0.4664
1.250,0.4382,0.04123,0.03177,-0.1156,0.8560,1.0000
1.500,0.4529,0.04230,0.03250,-0.1146,0.8459,1.0000
1.750,0.4792,0.04340,0.03329,-0.1152,0.8371,1.0000
2.000,0.5075,0.04445,0.03410,-0.1161,0.8286,1.0000
2.250,0.5233,0.04570,0.03520,-0.1155,0.8197,1.0000
2.500,0.5595,0.04673,0.03605,-0.1174,0.8122,1.0000
2.750,0.5668,0.04815,0.03738,-0.1157,0.8032,1.0000
3.000,0.5997,0.04926,0.03838,-0.1172,0.7958,1.0000
3.250,0.6078,0.05078,0.03985,-0.1158,0.7875,1.0000
3.500,0.6348,0.05205,0.04105,-0.1165,0.7800,1.0000
3.750,0.6456,0.05364,0.04261,-0.1155,0.7723,1.0000
4.000,0.6697,0.05502,0.04395,-0.1160,0.7648,1.0000
4.250,0.6809,0.05671,0.04563,-0.1151,0.7573,1.0000
4.500,0.7035,0.05820,0.04712,-0.1154,0.7499,1.0000
4.750,0.7134,0.06003,0.04896,-0.1146,0.7426,1.0000
5.000,0.7356,0.06162,0.05056,-0.1149,0.7352,1.0000
5.250,0.7433,0.06360,0.05257,-0.1139,0.7280,1.0000
5.500,0.7656,0.06527,0.05428,-0.1143,0.7204,1.0000
5.750,0.7715,0.06741,0.05650,-0.1133,0.7132,1.0000
6.000,0.7931,0.06919,0.05833,-0.1136,0.7056,1.0000
6.250,0.7966,0.07156,0.06075,-0.1126,0.6989,1.0000
6.500,0.8180,0.07341,0.06268,-0.1128,0.6905,1.0000
6.750,0.8225,0.07584,0.06518,-0.1120,0.6834,1.0000
7.000,0.8397,0.07792,0.06738,-0.1120,0.6749,1.0000
7.250,0.8489,0.08030,0.06985,-0.1116,0.6673,1.0000
7.500,0.8594,0.08273,0.07238,-0.1113,0.6591,1.0000
7.750,0.8861,0.08437,0.07415,-0.1116,0.6470,1.0000
8.000,0.8777,0.08776,0.07762,-0.1106,0.6419,1.0000
8.250,0.8967,0.08977,0.07977,-0.1105,0.6296,1.0000
8.500,0.9183,0.09163,0.08181,-0.1105,0.6163,1.0000
8.750,0.9390,0.09343,0.08377,-0.1102,0.6023,1.0000
9.000,0.9583,0.09524,0.08574,-0.1098,0.5878,1.0000
9.250,0.9733,0.09717,0.08784,-0.1091,0.5727,1.0000
9.500,0.9840,0.09928,0.09014,-0.1082,0.5567,1.0000
