Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca2411-il-500000
Airfoil,naca2411-il
Reynolds number,500000
Ncrit,9
Mach,0
Max Cl/Cd,95.5964
Max Cl/Cd alpha,5
Url,http://airfoiltools.com/polar/csv?polar=xf-naca2411-il-500000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-12.500,-0.7556,0.05417,0.05117,-0.0700,1.0000,0.0217
-12.250,-0.7845,0.04684,0.04366,-0.0762,1.0000,0.0216
-12.000,-0.8126,0.04241,0.03906,-0.0770,1.0000,0.0215
-11.750,-0.8384,0.04004,0.03656,-0.0731,1.0000,0.0215
-11.500,-0.8584,0.03786,0.03420,-0.0684,1.0000,0.0215
-11.250,-0.8663,0.03634,0.03248,-0.0646,1.0000,0.0217
-11.000,-0.8774,0.03401,0.02991,-0.0605,1.0000,0.0218
-10.750,-0.8881,0.03105,0.02668,-0.0563,1.0000,0.0220
-10.500,-0.8881,0.02898,0.02445,-0.0530,1.0000,0.0223
-10.250,-0.8818,0.02757,0.02294,-0.0503,1.0000,0.0226
-10.000,-0.8726,0.02644,0.02170,-0.0478,1.0000,0.0229
-9.750,-0.8616,0.02546,0.02062,-0.0455,1.0000,0.0233
-9.500,-0.8379,0.02420,0.01919,-0.0458,0.9986,0.0238
-9.250,-0.8077,0.02302,0.01785,-0.0471,0.9962,0.0245
-9.000,-0.7762,0.02191,0.01656,-0.0486,0.9942,0.0253
-8.750,-0.7465,0.02103,0.01550,-0.0495,0.9913,0.0260
-8.500,-0.7172,0.01970,0.01397,-0.0505,0.9885,0.0266
-8.250,-0.6873,0.01831,0.01250,-0.0517,0.9861,0.0276
-8.000,-0.6535,0.01756,0.01170,-0.0533,0.9843,0.0284
-7.750,-0.6228,0.01691,0.01097,-0.0542,0.9813,0.0295
-7.500,-0.5924,0.01631,0.01029,-0.0549,0.9776,0.0307
-7.250,-0.5585,0.01580,0.00968,-0.0563,0.9750,0.0318
-7.000,-0.5257,0.01476,0.00862,-0.0577,0.9728,0.0336
