Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca0015-il-100000
Airfoil,naca0015-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,37.495
Max Cl/Cd alpha,6
Url,http://airfoiltools.com/polar/csv?polar=xf-naca0015-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-13.750,-0.9918,0.07386,0.06732,-0.0434,1.0000,0.0931
-13.500,-1.0244,0.06821,0.06144,-0.0442,1.0000,0.0930
-13.250,-1.0543,0.06363,0.05660,-0.0433,1.0000,0.0930
-13.000,-1.0815,0.05992,0.05262,-0.0408,1.0000,0.0931
-12.750,-1.1060,0.05692,0.04933,-0.0370,1.0000,0.0933
-12.500,-1.0961,0.05378,0.04619,-0.0363,1.0000,0.0949
-12.250,-1.0894,0.05164,0.04399,-0.0348,1.0000,0.0965
-12.000,-1.0861,0.04938,0.04158,-0.0328,1.0000,0.0979
-11.750,-1.0855,0.04699,0.03895,-0.0304,1.0000,0.0994
-11.500,-1.0844,0.04470,0.03639,-0.0277,1.0000,0.1012
-11.250,-1.0839,0.04255,0.03387,-0.0248,1.0000,0.1032
-11.000,-1.0765,0.04031,0.03136,-0.0226,1.0000,0.1055
-10.750,-1.0559,0.03869,0.02982,-0.0220,1.0000,0.1087
-10.500,-1.0416,0.03713,0.02812,-0.0204,1.0000,0.1121
-10.250,-1.0304,0.03553,0.02621,-0.0181,1.0000,0.1157
-10.000,-1.0105,0.03385,0.02459,-0.0173,1.0000,0.1202
-9.750,-0.9937,0.03268,0.02338,-0.0158,1.0000,0.1255
-9.500,-0.9786,0.03123,0.02173,-0.0139,1.0000,0.1312
-9.250,-0.9588,0.03010,0.02075,-0.0129,1.0000,0.1379
-9.000,-0.9434,0.02889,0.01942,-0.0109,1.0000,0.1458
-8.750,-0.9265,0.02794,0.01855,-0.0093,1.0000,0.1546
-8.500,-0.9100,0.02689,0.01755,-0.0075,1.0000,0.1642
-8.250,-0.8950,0.02597,0.01658,-0.0055,1.0000,0.1755
-8.000,-0.8797,0.02519,0.01582,-0.0034,1.0000,0.1877
-7.750,-0.8638,0.02437,0.01512,-0.0015,1.0000,0.2008
-7.500,-0.8484,0.02362,0.01445,0.0006,1.0000,0.2150
-7.250,-0.8331,0.02292,0.01383,0.0027,1.0000,0.2306
-7.000,-0.8179,0.02228,0.01327,0.0048,1.0000,0.2475
-6.750,-0.8025,0.02169,0.01274,0.0069,1.0000,0.2658
-6.500,-0.7870,0.02114,0.01225,0.0090,1.0000,0.2854
-6.250,-0.7712,0.02062,0.01179,0.0110,1.0000,0.3061
-6.000,-0.7545,0.02012,0.01145,0.0130,1.0000,0.3266
-5.750,-0.7377,0.01969,0.01113,0.0149,1.0000,0.3481
