Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca2424-il-50000
Airfoil,naca2424-il
Reynolds number,50000
Ncrit,9
Mach,0
Max Cl/Cd,1.75921
Max Cl/Cd alpha,9.75
Url,http://airfoiltools.com/polar/csv?polar=xf-naca2424-il-50000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.250,-0.2536,0.13520,0.12732,-0.0033,1.0000,0.4563
-9.000,-0.3179,0.13792,0.13013,0.0017,1.0000,0.4647
-8.000,-0.4121,0.11815,0.11040,0.0014,1.0000,0.3967
-7.750,-0.4006,0.11663,0.10892,0.0027,1.0000,0.3990
-7.500,-0.3803,0.12088,0.11327,0.0076,1.0000,0.4396
-7.250,-0.4446,0.10823,0.10052,0.0039,1.0000,0.3844
-7.000,-0.6371,0.08663,0.07883,0.0041,1.0000,0.3708
-6.750,-0.8439,0.07037,0.06233,0.0191,1.0000,0.3666
-6.500,-0.9270,0.06365,0.05530,0.0295,1.0000,0.3688
-6.250,-0.9857,0.05860,0.04980,0.0387,1.0000,0.3728
-6.000,-0.9574,0.05917,0.05062,0.0387,1.0000,0.3794
-5.750,-0.9549,0.05829,0.04972,0.0415,1.0000,0.3862
-5.500,-0.9818,0.05536,0.04646,0.0477,1.0000,0.3928
-5.250,-0.9833,0.05396,0.04500,0.0511,1.0000,0.3993
-5.000,-0.9688,0.05389,0.04503,0.0526,1.0000,0.4067
-4.750,-0.9788,0.05216,0.04306,0.0571,1.0000,0.4148
-4.500,-0.9765,0.05111,0.04196,0.0601,1.0000,0.4223
-4.250,-0.9641,0.05092,0.04184,0.0618,1.0000,0.4306
-4.000,-0.9722,0.04943,0.04006,0.0663,1.0000,0.4400
-3.750,-0.9580,0.04921,0.03997,0.0677,1.0000,0.4479
-3.500,-0.9503,0.04879,0.03952,0.0700,0.9997,0.4578
-3.250,-0.9397,0.04844,0.03907,0.0716,0.9967,0.4684
-3.000,-0.9135,0.04935,0.04003,0.0708,0.9909,0.4808
-2.750,-0.9049,0.04887,0.03946,0.0728,0.9871,0.4918
-2.500,-0.8731,0.05037,0.04099,0.0710,0.9780,0.5062
-2.250,-0.7203,0.05336,0.04397,0.0515,0.8666,0.5400
-2.000,-0.7070,0.05350,0.04417,0.0532,0.8601,0.5524
-1.750,-0.6715,0.05416,0.04485,0.0518,0.8477,0.5693
-1.500,-0.6763,0.05389,0.04451,0.0561,0.8456,0.5823
-1.250,-0.6662,0.05406,0.04479,0.0581,0.8416,0.5947
-1.000,-0.6269,0.05489,0.04562,0.0562,0.8282,0.6154
-0.750,-0.6268,0.05507,0.04585,0.0595,0.8292,0.6296
-0.500,-0.6176,0.05553,0.04639,0.0614,0.8292,0.6452
-0.250,-0.6050,0.05617,0.04703,0.0630,0.8263,0.6644
1.250,-0.3957,0.06269,0.05408,0.0521,0.7602,0.8133
1.500,-0.3591,0.06514,0.05666,0.0475,0.7618,0.8334
1.750,-0.2887,0.06802,0.05959,0.0387,0.7429,0.8512
2.000,-0.2489,0.07118,0.06279,0.0330,0.7452,0.8682
2.250,-0.1363,0.07368,0.06519,0.0212,0.7001,0.8879
2.500,-0.0602,0.07667,0.06815,0.0119,0.6830,0.9026
2.750,0.0276,0.07895,0.07037,0.0017,0.6649,0.9203
3.000,0.0542,0.08159,0.07304,-0.0027,0.6584,0.9369
3.250,0.0205,0.08694,0.07857,-0.0039,0.7015,0.9511
3.500,0.0079,0.09212,0.08388,-0.0078,0.7555,0.9665
3.750,0.1046,0.09712,0.08886,-0.0223,0.7375,0.9846
4.000,0.1223,0.09838,0.09017,-0.0269,0.7276,0.9990
4.250,0.1331,0.09874,0.09043,-0.0272,0.7184,1.0000
4.500,0.1362,0.09996,0.09153,-0.0262,0.7144,1.0000
4.750,0.0962,0.09803,0.08952,-0.0197,0.7066,1.0000
5.000,0.0976,0.09819,0.08956,-0.0176,0.6968,1.0000
5.250,0.1154,0.10062,0.09187,-0.0176,0.6916,1.0000
5.500,0.0790,0.09880,0.08996,-0.0111,0.6816,1.0000
5.750,0.0968,0.10040,0.09146,-0.0107,0.6720,1.0000
6.000,0.0993,0.10222,0.09318,-0.0091,0.6669,1.0000
6.250,0.0907,0.10200,0.09288,-0.0059,0.6534,1.0000
6.500,0.1312,0.10619,0.09699,-0.0081,0.6462,1.0000
6.750,0.0987,0.10489,0.09562,-0.0029,0.6364,1.0000
7.000,0.1226,0.10716,0.09781,-0.0032,0.6261,1.0000
7.250,0.1296,0.10960,0.10019,-0.0024,0.6210,1.0000
7.500,0.1241,0.10977,0.10031,0.0000,0.6078,1.0000
7.750,0.1674,0.11453,0.10502,-0.0023,0.6007,1.0000
8.000,0.1362,0.11335,0.10379,0.0020,0.5907,1.0000
8.250,0.1590,0.11582,0.10622,0.0017,0.5812,1.0000
8.500,0.1721,0.11896,0.10931,0.0018,0.5762,1.0000
8.750,0.1636,0.11897,0.10929,0.0040,0.5631,1.0000
9.000,0.2008,0.12335,0.11363,0.0025,0.5563,1.0000
9.250,0.1778,0.12313,0.11338,0.0052,0.5478,1.0000
9.500,0.1951,0.12531,0.11553,0.0053,0.5377,1.0000
9.750,0.2297,0.13057,0.12076,0.0038,0.5328,1.0000
10.000,0.2017,0.12906,0.11923,0.0068,0.5215,1.0000
10.250,0.2292,0.13239,0.12254,0.0061,0.5134,1.0000
